id,in_b,in_d,in_dd,in_sigma_m,in_sigma_w,alpha,beta,gamma,pop_error,pcf_error
37,1.0,0.1,0.75,2.3000000000000003,0.7,2.7267477092535017,-0.4039696525431326,-1.322778056710369,0.99969915873133,0.05023164214255477
38,1.0,0.1,0.75,2.3000000000000003,0.8,2.689486925984115,-0.3679630166270001,-1.3215239093571152,0.9997467823343142,0.05425560929385361
39,1.0,0.1,0.75,2.3000000000000003,0.9,2.8653066400070077,-0.4435741566899974,-1.4217324833170102,0.9997582578807761,0.05434566753718191
40,1.0,0.1,0.75,2.3000000000000003,1.0,3.0434129488876325,-0.5165437238422838,-1.5268692250453486,0.9997699169485165,0.05352958050533843
42,1.0,0.1,0.75,2.4000000000000004,0.7,2.565459242865962,-0.1905040837026671,-1.3749551591632951,0.9997365115764538,0.05384033226532955
43,1.0,0.1,0.75,2.4000000000000004,0.8,2.682638831644775,-0.31006695121779426,-1.3725718804269804,0.999749067714063,0.05283497072544699
44,1.0,0.1,0.75,2.4000000000000004,0.9,2.7077883081268332,-0.3947905173882574,-1.312997790738576,0.9997606475483136,0.05099735713058919
45,1.0,0.1,0.75,2.4000000000000004,1.0,2.7655673010809547,-0.4487584140633204,-1.3168088870176344,0.9997522515967933,0.05492487274797786
46,1.0,0.1,0.75,2.5,0.6,2.391414070815804,-0.1125814275469713,-1.2788326432688328,0.9996554924392221,0.04904547298500246
47,1.0,0.1,0.75,2.5,0.7,2.533984559127837,-0.30255034641058365,-1.2314342127172535,0.9996307344273594,0.047464563762465335
48,1.0,0.1,0.75,2.5,0.8,2.523982192713748,-0.28164026638977196,-1.242341926323976,0.9997052183716778,0.05397009795898234
49,1.0,0.1,0.75,2.5,0.9,2.7440696395917232,-0.46307930508617623,-1.280990334505547,0.9996783121346925,0.04859701270355681
50,1.0,0.1,0.75,2.5,1.0,2.4705142560390674,-0.5238291323652027,-0.9466851236738646,0.999668106019364,0.04980341894897062
51,1.0,0.2,0.75,2.1,0.6,2.651985845341322,-0.30017554530620566,-1.351810300035116,0.9997170579728596,0.058217995808827534
53,1.0,0.2,0.75,2.1,0.8,2.616984535984069,-0.3578979278786253,-1.2590866081054437,0.9997615739197004,0.062215426104335676
54,1.0,0.2,0.75,2.1,0.9,2.7752454797248434,-0.44839009253797857,-1.326855387186865,0.999768985909341,0.06747438582631407
55,1.0,0.2,0.75,2.1,1.0,2.8416838096932677,-0.7964271870092323,-1.0452566226840354,0.9997738305012192,0.06197266325558657
56,1.0,0.2,0.75,2.2,0.6,2.585486470756244,-0.3434274097167833,-1.2420590610394606,0.9996725322446137,0.060889210646067574
57,1.0,0.2,0.75,2.2,0.7,2.6883508266125946,-0.32545938991625845,-1.362891436696336,0.9997437247870169,0.05833765986651365
58,1.0,0.2,0.75,2.2,0.8,2.790239258346751,-0.49650874845452014,-1.2937305098922303,0.999754036223103,0.061201066237018424
59,1.0,0.2,0.75,2.2,0.9,2.7413155348474185,-0.46020797980939465,-1.281107555038024,0.9997690418046836,0.06276221708295851
60,1.0,0.2,0.75,2.2,1.0,2.7690073346358917,-0.46146531554484177,-1.3075420190910498,0.9997849735400273,0.0640784215017376
61,1.0,0.2,0.75,2.3000000000000003,0.6,2.53627627472643,-0.19703468075113456,-1.3392415939752955,0.9997096708698721,0.0541217239468728
